age,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,injury_claim,property_claim,vehicle_claim,fraud_reported
48,MALE,MD,craft-repair,Single Vehicle Collision,Side Collision,Major Damage,Police,5,6510,13020,52080,Y
42,MALE,MD,machine-op-inspct,Vehicle Theft,0,Minor Damage,Police,8,780,780,3510,Y
29,FEMALE,PhD,sales,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,7700,3850,23100,N
41,FEMALE,PhD,armed-forces,Single Vehicle Collision,Front Collision,Major Damage,Police,5,6340,6340,50720,Y
44,MALE,Associate,sales,Vehicle Theft,0,Minor Damage,0,20,1300,650,4550,N
39,FEMALE,PhD,tech-support,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,6410,6410,51280,Y
34,MALE,PhD,prof-specialty,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,21450,7150,50050,N
37,MALE,Associate,tech-support,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,9380,9380,32830,N
33,FEMALE,PhD,other-service,Single Vehicle Collision,Front Collision,Total Loss,Police,21,2770,2770,22160,N
42,MALE,PhD,priv-house-serv,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,4700,4700,32900,N
42,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Front Collision,Total Loss,Police,22,7910,15820,63280,N
61,FEMALE,High School,exec-managerial,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,17680,17680,79560,N
23,MALE,MD,protective-serv,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,4710,9420,42390,N
34,FEMALE,MD,armed-forces,Parked Car,0,Minor Damage,0,5,1120,1120,5040,N
38,FEMALE,College,machine-op-inspct,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,4200,8400,33600,Y
58,FEMALE,MD,transport-moving,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,10520,10520,42080,Y
26,MALE,College,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,5790,5790,40530,N
31,MALE,High School,machine-op-inspct,Single Vehicle Collision,Side Collision,Total Loss,Police,9,14160,7080,56640,N
37,FEMALE,MD,craft-repair,Single Vehicle Collision,Side Collision,Total Loss,Other,19,6630,13260,53040,N
39,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,6040,6040,48320,N
62,MALE,JD,other-service,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,0,5240,41920,N
41,FEMALE,Associate,machine-op-inspct,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,0,4730,33110,N
55,MALE,High School,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,17880,5960,47680,Y
55,MALE,MD,priv-house-serv,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,8180,16360,73620,Y
40,MALE,College,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,7080,14160,56640,N
35,MALE,Masters,sales,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,16500,11000,44000,Y
43,MALE,High School,prof-specialty,Parked Car,0,Minor Damage,Police,4,1640,820,6560,N
34,MALE,JD,exec-managerial,Vehicle Theft,0,Minor Damage,0,5,1040,520,4160,Y
40,FEMALE,JD,sales,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,7760,15520,46560,N
45,FEMALE,PhD,machine-op-inspct,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,14100,14100,63450,N
25,MALE,Masters,prof-specialty,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,12600,12600,50400,N
37,MALE,JD,craft-repair,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,7460,7460,52220,Y
35,FEMALE,Associate,adm-clerical,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3310,3310,23170,N
30,MALE,High School,farming-fishing,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,14020,14020,49070,N
37,MALE,PhD,prof-specialty,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,10800,5400,48600,N
33,MALE,High School,craft-repair,Single Vehicle Collision,Front Collision,Major Damage,Other,15,10620,5310,37170,Y
28,FEMALE,Masters,protective-serv,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,6020,6020,48160,Y
49,FEMALE,JD,priv-house-serv,Parked Car,0,Minor Damage,0,16,1230,820,3280,N
54,FEMALE,MD,craft-repair,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,12460,6230,43610,N
37,MALE,JD,tech-support,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,10940,10940,38290,Y
26,MALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,8000,4000,28000,N
34,MALE,Associate,transport-moving,Single Vehicle Collision,Side Collision,Major Damage,Police,1,16180,16180,64720,Y
23,FEMALE,College,prof-specialty,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,5740,5740,40180,N
30,FEMALE,PhD,transport-moving,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,5680,5680,39760,N
44,MALE,JD,priv-house-serv,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,11280,11280,33840,N
40,FEMALE,MD,protective-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,6890,0,48230,N
33,FEMALE,Associate,other-service,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,0,14020,63090,N
47,MALE,College,other-service,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,6280,6280,50240,Y
34,FEMALE,PhD,protective-serv,Vehicle Theft,0,Trivial Damage,Police,5,810,810,5670,N
35,FEMALE,Masters,exec-managerial,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,15320,7660,53620,N
59,MALE,MD,other-service,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,16360,8180,57260,N
27,FEMALE,JD,farming-fishing,Vehicle Theft,0,Trivial Damage,0,4,1320,660,5280,N
39,MALE,College,armed-forces,Vehicle Theft,0,Minor Damage,0,8,430,430,3440,N
40,FEMALE,JD,priv-house-serv,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,12820,12820,44870,N
39,MALE,PhD,machine-op-inspct,Parked Car,0,Minor Damage,Police,5,480,480,1680,N
26,MALE,PhD,craft-repair,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,15780,7890,55230,N
56,FEMALE,PhD,prof-specialty,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,0,6270,50160,N
32,FEMALE,Masters,adm-clerical,Parked Car,0,Minor Damage,0,19,300,300,1800,N
39,MALE,PhD,other-service,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,7310,7310,51170,N
36,FEMALE,MD,adm-clerical,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,11440,5720,45760,N
34,MALE,PhD,machine-op-inspct,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,15440,0,54040,Y
44,MALE,JD,handlers-cleaners,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,7380,3690,33210,N
32,MALE,High School,armed-forces,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,5630,11260,39410,N
